Date	Time	Water vapor H2O[vol-%]	Carbon dioxide CO2[vol-%]	Carbon monoxide CO High[vol-%]	Nitrous oxide N2O[ppm]	Nitrogen monoxide NO[ppm]	Nitrogen dioxide NO2[ppm]	Sulfur dioxide SO2 High[ppm]	Ammonia NH3[ppm]	Hydrogen chloride HCl[ppm]	Hydrogen fluoride HF[ppm]	Methane CH4 High[ppm]	Ethane C2H6[ppm]	Ethylene C2H4[ppm]	Propane C3H8[ppm]	Formaldehyde CHOH[ppm]	Benzen[ppm]	Toluen[ppm]	Carbon monoxide CO Low[ppm]	Sulfur dioxide Low[ppm]	Methane Low[ppm]	Zr Oxygen[vol-%]
2022-10-12	09:50:38	"  1.54"	"  1.30"	"  0.00"	"  0.59"	"  0.00"	"  2.32"	"  0.00"	"  3.70"	"  1.05"	"  0.00"	"  0.00"	"  0.00"	"  0.00"	"  3.92"	"  1.54"	"  1.41"	"  0.00"	" 46.75"	"  0.00"	"  0.00"	" 19.46"
2022-10-12	09:50:45	"  1.54"	"  1.32"	"  0.00"	"  0.59"	"  0.00"	"  0.35"	"  0.00"	"  3.38"	"  0.39"	"  0.00"	"  0.00"	"  0.00"	"  0.00"	"  3.96"	"  1.86"	"  1.43"	"  0.00"	" 46.52"	"  0.00"	"  0.00"	" 19.48"
2022-10-12	09:50:55	"  1.54"	"  1.32"	"  0.00"	"  0.60"	"  0.00"	"  0.05"	"  0.00"	"  3.45"	"  0.50"	"  0.00"	"  0.00"	"  0.00"	"  0.00"	"  3.93"	"  1.89"	"  1.37"	"  0.00"	" 46.69"	"  0.00"	"  0.00"	" 19.48"
2022-10-12	09:51:07	"  2.14"	"  1.16"	"  0.01"	"  0.91"	" 10.23"	"  0.00"	"  0.00"	"  7.24"	"  0.30"	"  0.00"	"  0.09"	"  0.00"	"  0.00"	"  5.03"	"  2.45"	"  1.79"	"  0.00"	" 76.44"	"  0.00"	"  0.09"	" 19.54"
2022-10-12	09:51:19	"  1.79"	"  0.34"	"  0.00"	"  0.75"	"  5.51"	"  0.15"	"  0.00"	" 17.84"	"  0.43"	"  0.00"	"  2.21"	"  0.00"	"  0.00"	"  2.68"	"  1.10"	"  0.94"	"  0.08"	" 25.78"	"  0.00"	"  2.21"	" 20.51"
2022-10-12	09:51:29	"  1.27"	"  0.12"	"  0.00"	"  0.56"	"  1.91"	"  0.00"	"  0.00"	" 19.02"	"  0.35"	"  0.00"	"  2.36"	"  0.00"	"  0.00"	"  1.45"	"  0.18"	"  0.94"	"  0.00"	"  6.29"	"  0.00"	"  2.36"	" 20.70"
2022-10-12	09:51:36	"  1.03"	"  0.06"	"  0.00"	"  0.54"	"  1.16"	"  0.00"	"  0.00"	" 18.66"	"  0.21"	"  0.00"	"  2.54"	"  0.00"	"  0.00"	"  0.93"	"  0.00"	"  0.69"	"  0.00"	"  1.17"	"  0.00"	"  2.54"	" 20.80"
2022-10-12	09:51:47	"  0.95"	"  0.03"	"  0.00"	"  0.54"	"  1.10"	"  0.00"	"  0.00"	" 18.22"	"  0.31"	"  0.00"	"  2.52"	"  0.00"	"  0.00"	"  0.68"	"  0.00"	"  0.99"	"  0.00"	"  0.30"	"  0.00"	"  2.52"	" 20.84"
2022-10-12	09:51:59	"  0.91"	"  0.03"	"  0.00"	"  0.51"	"  0.00"	"  0.00"	"  0.00"	" 17.48"	"  0.10"	"  0.00"	"  2.21"	"  0.00"	"  0.00"	"  0.64"	"  0.00"	"  0.45"	"  0.00"	"  0.05"	"  0.00"	"  2.21"	" 20.85"
2022-10-12	09:52:11	"  0.89"	"  0.01"	"  0.00"	"  0.49"	"  0.00"	"  0.00"	"  0.00"	" 16.96"	"  0.00"	"  0.00"	"  2.48"	"  0.00"	"  0.00"	"  0.54"	"  0.00"	"  0.52"	"  0.00"	"  0.00"	"  0.00"	"  2.48"	" 20.87"
2022-10-12	09:52:18	"  0.88"	" -0.00"	"  0.00"	"  0.90"	"  0.00"	"  0.00"	"  0.00"	" 16.47"	"  0.29"	"  0.00"	"  2.00"	"  0.00"	"  0.00"	"  0.59"	"  0.00"	"  0.60"	"  0.00"	"  0.00"	"  0.00"	"  2.00"	" 20.82"
2022-10-12	09:52:29	"  0.87"	" -0.01"	"  0.00"	"  0.49"	"  0.00"	"  0.00"	"  0.00"	" 15.84"	"  0.39"	"  0.00"	"  2.46"	"  0.00"	"  0.00"	"  0.52"	"  0.00"	"  0.44"	"  0.00"	"  0.00"	"  0.00"	"  2.46"	" 20.81"
2022-10-12	09:52:40	"  0.87"	" -0.01"	"  0.00"	"  0.48"	"  0.00"	"  0.00"	"  0.00"	" 15.30"	"  0.41"	"  0.00"	"  2.72"	"  0.00"	"  0.14"	"  0.45"	"  0.00"	"  0.59"	"  0.00"	"  0.00"	"  0.00"	"  2.72"	" 20.81"
2022-10-12	09:52:52	"  0.85"	"  0.01"	"  0.00"	"  0.48"	"  0.00"	"  0.00"	"  0.00"	" 14.56"	"  0.00"	"  0.00"	"  2.55"	"  0.00"	"  0.00"	"  0.47"	"  0.00"	"  0.37"	"  0.00"	"  0.00"	"  0.00"	"  2.55"	" 20.77"
2022-10-12	09:52:59	"  0.85"	"  0.00"	"  0.00"	"  0.47"	"  0.00"	"  0.00"	"  0.00"	" 14.32"	"  0.12"	"  0.00"	"  2.12"	"  0.00"	"  0.00"	"  0.56"	"  0.00"	"  0.49"	"  0.00"	"  0.03"	"  0.00"	"  2.12"	" 20.74"
2022-10-12	09:53:10	"  0.86"	"  0.01"	"  0.00"	"  0.48"	"  0.00"	"  0.00"	"  0.00"	" 13.58"	"  0.18"	"  0.00"	"  2.08"	"  0.00"	"  0.00"	"  0.58"	"  0.00"	"  0.46"	"  0.00"	"  0.00"	"  0.00"	"  2.08"	" 20.72"
2022-10-12	09:53:21	"  0.85"	"  0.01"	"  0.00"	"  0.48"	"  0.00"	"  0.00"	"  0.00"	" 13.59"	"  0.13"	"  0.00"	"  2.39"	"  0.00"	"  0.00"	"  0.52"	"  0.00"	"  0.50"	"  0.00"	"  0.00"	"  0.00"	"  2.39"	" 20.68"
2022-10-12	09:53:32	"  0.85"	"  0.01"	"  0.00"	"  0.48"	"  0.00"	"  0.00"	"  0.00"	" 13.02"	"  0.26"	"  0.00"	"  2.28"	"  0.00"	"  0.00"	"  0.40"	"  0.00"	"  0.35"	"  0.00"	"  0.00"	"  0.00"	"  2.28"	" 20.66"
2022-10-12	09:53:45	"  0.85"	" -0.02"	"  0.00"	"  0.46"	"  0.00"	"  0.16"	"  0.00"	" 12.56"	"  0.01"	"  0.00"	"  2.40"	"  0.00"	"  0.00"	"  0.28"	"  0.00"	"  0.46"	"  0.00"	"  0.00"	"  0.00"	"  2.40"	" 20.66"
2022-10-12	09:53:52	"  0.85"	" -0.02"	"  0.00"	"  0.48"	"  0.00"	"  0.00"	"  0.00"	" 12.21"	"  0.00"	"  0.00"	"  2.13"	"  0.00"	"  0.00"	"  0.33"	"  0.00"	"  0.36"	"  0.00"	"  0.00"	"  0.00"	"  2.13"	" 20.63"
2022-10-12	09:54:03	"  0.84"	" -0.02"	"  0.00"	"  0.47"	"  0.00"	"  0.00"	"  0.00"	" 12.26"	"  0.00"	"  0.00"	"  2.30"	"  0.00"	"  0.00"	"  0.29"	"  0.00"	"  0.53"	"  0.00"	"  0.00"	"  0.00"	"  2.30"	" 20.60"
2022-10-12	09:54:14	"  0.83"	"  0.00"	"  0.00"	"  0.47"	"  0.00"	"  0.00"	"  0.00"	" 11.92"	"  0.12"	"  0.00"	"  2.34"	"  0.00"	"  0.00"	"  0.35"	"  0.00"	"  0.44"	"  0.00"	"  0.15"	"  0.00"	"  2.34"	" 20.59"
2022-10-12	09:54:27	"  0.84"	"  0.01"	"  0.00"	"  0.49"	"  1.77"	"  0.00"	"  0.00"	" 11.63"	"  0.15"	"  0.00"	"  1.58"	"  0.00"	"  0.00"	"  0.46"	"  0.00"	"  0.39"	"  0.00"	"  0.32"	"  0.00"	"  1.58"	" 20.59"
2022-10-12	09:54:33	"  0.82"	" -0.01"	"  0.00"	"  0.40"	"  0.53"	"  0.00"	"  0.00"	" 11.92"	"  0.00"	"  0.00"	"  1.98"	"  0.00"	"  0.00"	"  0.36"	"  0.00"	"  0.37"	"  0.00"	"  0.26"	"  0.00"	"  1.98"	" 20.57"
2022-10-12	09:54:44	"  0.84"	"  0.01"	"  0.00"	"  0.47"	"  1.01"	"  0.00"	"  0.00"	" 11.32"	"  0.00"	"  0.00"	"  2.48"	"  0.00"	"  0.00"	"  0.40"	"  0.00"	"  0.40"	"  0.00"	"  0.39"	"  0.00"	"  2.48"	" 20.55"
2022-10-12	09:54:55	"  0.84"	" -0.02"	"  0.00"	"  0.47"	"  0.55"	"  0.00"	"  0.00"	" 11.36"	"  0.00"	"  0.00"	"  2.41"	"  0.00"	"  0.00"	"  0.38"	"  0.00"	"  0.55"	"  0.00"	"  0.25"	"  0.00"	"  2.41"	" 20.59"
2022-10-12	09:55:07	"  0.84"	" -0.01"	"  0.00"	"  0.49"	"  1.42"	"  0.00"	"  0.00"	" 10.92"	"  0.00"	"  0.00"	"  2.55"	"  0.00"	"  0.00"	"  0.29"	"  0.00"	"  0.32"	"  0.00"	"  0.38"	"  0.00"	"  2.55"	" 20.59"
2022-10-12	09:55:16	"  0.84"	" -0.01"	"  0.00"	"  0.46"	"  1.52"	"  0.00"	"  0.00"	" 10.83"	"  0.00"	"  0.00"	"  2.09"	"  0.00"	"  0.00"	"  0.24"	"  0.00"	"  0.34"	"  0.00"	"  0.42"	"  0.00"	"  2.09"	" 20.56"
2022-10-12	09:55:23	"  0.84"	" -0.02"	"  0.00"	"  0.42"	"  1.35"	"  0.00"	"  0.00"	" 10.68"	"  0.00"	"  0.00"	"  2.80"	"  0.00"	"  0.00"	"  0.32"	"  0.00"	"  0.47"	"  0.00"	"  0.53"	"  0.00"	"  2.80"	" 20.54"
2022-10-12	09:55:34	"  0.84"	" -0.01"	"  0.00"	"  0.44"	"  1.85"	"  0.00"	"  0.00"	" 10.23"	"  0.00"	"  0.00"	"  2.34"	"  0.00"	"  0.00"	"  0.29"	"  0.00"	"  0.44"	"  0.00"	"  0.54"	"  0.00"	"  2.34"	" 20.53"
2022-10-12	09:55:45	"  0.85"	"  0.00"	"  0.00"	"  0.91"	"  1.24"	"  0.00"	"  0.00"	" 10.37"	"  0.00"	"  0.00"	"  2.10"	"  0.00"	"  0.00"	"  0.33"	"  0.00"	"  0.48"	"  0.00"	"  0.58"	"  0.00"	"  2.10"	" 20.54"
2022-10-12	09:55:58	"  0.84"	" -0.02"	"  0.00"	"  0.47"	"  1.53"	"  0.00"	"  0.00"	"  9.93"	"  0.11"	"  0.00"	"  1.97"	"  0.00"	"  0.04"	"  0.34"	"  0.00"	"  0.42"	"  0.00"	"  0.34"	"  0.00"	"  1.97"	" 20.54"
2022-10-12	09:56:04	"  0.85"	"  0.00"	"  0.00"	"  0.46"	"  0.95"	"  0.00"	"  0.00"	"  9.75"	"  0.00"	"  0.00"	"  2.37"	"  0.00"	"  0.24"	"  0.24"	"  0.00"	"  0.43"	"  0.00"	"  0.58"	"  0.00"	"  2.37"	" 20.55"
2022-10-12	09:56:15	"  0.85"	" -0.01"	"  0.00"	"  0.44"	"  1.41"	"  0.00"	"  0.00"	" 10.02"	"  0.13"	"  0.00"	"  2.06"	"  0.00"	"  0.00"	"  0.25"	"  0.00"	"  0.56"	"  0.00"	"  0.37"	"  0.00"	"  2.06"	" 20.56"
2022-10-12	09:56:26	"  0.85"	"  0.00"	"  0.00"	"  0.45"	"  1.35"	"  0.00"	"  0.00"	"  9.90"	"  0.00"	"  0.00"	"  2.30"	"  0.00"	"  0.06"	"  0.28"	"  0.00"	"  0.47"	"  0.00"	"  0.48"	"  0.00"	"  2.30"	" 20.57"
2022-10-12	09:56:38	"  0.84"	" -0.02"	"  0.00"	"  0.47"	"  1.88"	"  0.00"	"  0.00"	"  9.68"	"  0.00"	"  0.00"	"  2.44"	"  0.00"	"  0.00"	"  0.31"	"  0.00"	"  0.40"	"  0.00"	"  0.34"	"  0.00"	"  2.44"	" 20.55"
