Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Carbon monoxide CO High	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	Nitrogen monoxide NO	Unit	 Compensation	 Residual	Nitrogen dioxide NO2	Unit	 Compensation	 Residual	Sulfur dioxide SO2 High	Unit	 Compensation	 Residual	Ammonia NH3	Unit	 Compensation	 Residual	Hydrogen chloride HCl	Unit	 Compensation	 Residual	Hydrogen fluoride HF	Unit	 Compensation	 Residual	Methane CH4 High	Unit	 Compensation	 Residual	Ethane C2H6	Unit	 Compensation	 Residual	Ethylene C2H4	Unit	 Compensation	 Residual	Propane C3H8	Unit	 Compensation	 Residual	Formaldehyde CHOH	Unit	 Compensation	 Residual	Benzen	Unit	 Compensation	 Residual	Toluen	Unit	 Compensation	 Residual	Carbon monoxide CO Low	Unit	 Compensation	 Residual	Sulfur dioxide Low	Unit	 Compensation	 Residual	Methane Low	Unit	 Compensation	 Residual	Zr Oxygen	Unit	 Compensation	 Residual	 Status
0	2022-10-19	10:04:17		EC1.LIB	  1.78	vol-%	Wet	0.0357	  5.93	vol-%	Wet	0.0057	  0.49	vol-%	Wet	0.0090	  4.92	ppm	Wet	0.0079	126.43	ppm	Wet	0.0098	  0.00	ppm	Wet	0.0010	  0.00	ppm	Wet	0.0333	 24.71	ppm	Wet	0.0059	  3.93	ppm	Wet	0.0010	  1.65	ppm	Wet	0.0470	115.82	ppm	Wet	0.0408	  6.81	ppm	Wet	0.0196	 72.62	ppm	Wet	0.0057	  0.00	ppm	Wet	0.0229	  6.92	ppm	Wet	0.0010	 38.56	ppm	Wet	0.0176	  0.00	ppm	Wet	0.0166	4925.78	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	115.82	ppm	Wet	0.0000	 11.20	vol-%	Wet	0.0000	Error
0	2022-10-19	10:04:24		EC1.LIB	  1.63	vol-%	Wet	0.0476	  6.38	vol-%	Wet	0.0068	  0.70	vol-%	Wet	0.0104	  6.09	ppm	Wet	0.0100	140.58	ppm	Wet	0.0117	  0.00	ppm	Wet	0.0013	  0.00	ppm	Wet	0.0425	 24.59	ppm	Wet	0.0068	  4.81	ppm	Wet	0.0012	  2.87	ppm	Wet	0.0610	224.54	ppm	Wet	0.0527	 10.67	ppm	Wet	0.0288	134.53	ppm	Wet	0.0068	  0.00	ppm	Wet	0.0388	  9.02	ppm	Wet	0.0013	 58.59	ppm	Wet	0.0286	  0.00	ppm	Wet	0.0279	6956.90	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	224.54	ppm	Wet	0.0000	 10.25	vol-%	Wet	0.0000	Error
0	2022-10-19	10:04:34		EC1.LIB	  1.61	vol-%	Wet	0.0575	  6.90	vol-%	Wet	0.0090	  0.94	vol-%	Wet	0.0117	  6.93	ppm	Wet	0.0129	144.64	ppm	Wet	0.0133	  0.00	ppm	Wet	0.0019	  0.00	ppm	Wet	0.0477	 23.69	ppm	Wet	0.0096	  5.25	ppm	Wet	0.0016	  3.00	ppm	Wet	0.0739	487.55	ppm	Wet	0.0642	 20.97	ppm	Wet	0.0409	233.62	ppm	Wet	0.0092	  0.00	ppm	Wet	0.0597	 14.49	ppm	Wet	0.0016	 88.35	ppm	Wet	0.0403	  0.00	ppm	Wet	0.0393	9385.40	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	487.55	ppm	Wet	0.0000	  9.14	vol-%	Wet	0.0000	Error
0	2022-10-19	10:04:46		EC1.LIB	  2.26	vol-%	Wet	0.0533	  7.07	vol-%	Wet	0.0094	  0.96	vol-%	Wet	0.0125	  7.41	ppm	Wet	0.0134	148.02	ppm	Wet	0.0131	  0.00	ppm	Wet	0.0022	  0.00	ppm	Wet	0.0475	 24.51	ppm	Wet	0.0099	  5.95	ppm	Wet	0.0017	  3.10	ppm	Wet	0.0718	501.96	ppm	Wet	0.0630	 21.82	ppm	Wet	0.0415	244.20	ppm	Wet	0.0096	  0.00	ppm	Wet	0.0599	 17.47	ppm	Wet	0.0017	 93.56	ppm	Wet	0.0305	  0.00	ppm	Wet	0.0293	9570.24	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	501.96	ppm	Wet	0.0000	  9.19	vol-%	Wet	0.0000	Error
0	2022-10-19	10:04:58		EC1.LIB	  2.88	vol-%	Wet	0.0493	  7.00	vol-%	Wet	0.0092	  0.94	vol-%	Wet	0.0130	  7.46	ppm	Wet	0.0135	152.74	ppm	Wet	0.0131	  0.00	ppm	Wet	0.0024	  0.00	ppm	Wet	0.0464	 24.72	ppm	Wet	0.0098	  6.52	ppm	Wet	0.0017	  2.64	ppm	Wet	0.0677	517.67	ppm	Wet	0.0593	 21.96	ppm	Wet	0.0417	239.12	ppm	Wet	0.0095	  0.00	ppm	Wet	0.0599	 18.90	ppm	Wet	0.0017	 93.83	ppm	Wet	0.0274	  0.00	ppm	Wet	0.0277	9440.91	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	517.67	ppm	Wet	0.0000	  9.41	vol-%	Wet	0.0000	Error
0	2022-10-19	10:05:08		EC1.LIB	  3.14	vol-%	Wet	0.0504	  6.89	vol-%	Wet	0.0084	  0.88	vol-%	Wet	0.0136	  7.42	ppm	Wet	0.0122	151.32	ppm	Wet	0.0133	  2.14	ppm	Wet	0.0020	  0.00	ppm	Wet	0.0474	 24.91	ppm	Wet	0.0090	  6.61	ppm	Wet	0.0015	  2.76	ppm	Wet	0.0677	460.42	ppm	Wet	0.0581	 11.70	ppm	Wet	0.0439	201.98	ppm	Wet	0.0086	  0.00	ppm	Wet	0.0574	 17.84	ppm	Wet	0.0016	 91.04	ppm	Wet	0.0303	  0.00	ppm	Wet	0.0286	8790.01	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	460.42	ppm	Wet	0.0000	  9.82	vol-%	Wet	0.0000	Error
0	2022-10-19	10:05:15		EC1.LIB	  3.79	vol-%	Wet	0.0428	  6.65	vol-%	Wet	0.0069	  0.72	vol-%	Wet	0.0133	  6.88	ppm	Wet	0.0115	149.71	ppm	Wet	0.0124	  0.00	ppm	Wet	0.0015	  0.00	ppm	Wet	0.0437	 25.90	ppm	Wet	0.0073	  6.87	ppm	Wet	0.0012	  2.50	ppm	Wet	0.0582	320.77	ppm	Wet	0.0493	 11.61	ppm	Wet	0.0357	144.36	ppm	Wet	0.0069	  0.00	ppm	Wet	0.0489	 14.49	ppm	Wet	0.0012	 74.22	ppm	Wet	0.0301	  0.00	ppm	Wet	0.0289	7162.92	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	320.77	ppm	Wet	0.0000	 10.34	vol-%	Wet	0.0000	Error
0	2022-10-19	10:05:26		EC1.LIB	  4.47	vol-%	Wet	0.0313	  6.40	vol-%	Wet	0.0051	  0.53	vol-%	Wet	0.0122	  6.31	ppm	Wet	0.0107	146.45	ppm	Wet	0.0112	  0.09	ppm	Wet	0.0011	  0.00	ppm	Wet	0.0360	 26.97	ppm	Wet	0.0051	  7.05	ppm	Wet	0.0010	  1.52	ppm	Wet	0.0444	210.40	ppm	Wet	0.0375	  6.57	ppm	Wet	0.0272	 85.39	ppm	Wet	0.0051	  0.00	ppm	Wet	0.0344	 11.59	ppm	Wet	0.0010	 54.65	ppm	Wet	0.0208	  0.00	ppm	Wet	0.0192	5254.98	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	210.40	ppm	Wet	0.0000	 10.99	vol-%	Wet	0.0000	Error
0	2022-10-19	10:05:38		EC1.LIB	  5.31	vol-%	Wet	0.0216	  6.34	vol-%	Wet	0.0032	  0.37	vol-%	Wet	0.0111	  5.89	ppm	Wet	0.0098	130.76	ppm	Wet	0.0096	  0.00	ppm	Wet	0.0006	  0.00	ppm	Wet	0.0243	 27.23	ppm	Wet	0.0032	  7.11	ppm	Wet	0.0005	  0.73	ppm	Wet	0.0293	120.93	ppm	Wet	0.0246	  4.30	ppm	Wet	0.0185	 37.97	ppm	Wet	0.0032	  0.00	ppm	Wet	0.0215	  9.36	ppm	Wet	0.0006	 34.95	ppm	Wet	0.0145	  0.00	ppm	Wet	0.0136	3663.84	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	120.93	ppm	Wet	0.0000	 11.41	vol-%	Wet	0.0000	Error
0	2022-10-19	10:05:50		EC1.LIB	  5.22	vol-%	Wet	0.0229	  6.43	vol-%	Wet	0.0032	  0.46	vol-%	Wet	0.0120	  6.31	ppm	Wet	0.0105	129.61	ppm	Wet	0.0103	  0.00	ppm	Wet	0.0008	  0.00	ppm	Wet	0.0282	 26.87	ppm	Wet	0.0038	  7.57	ppm	Wet	0.0006	  1.35	ppm	Wet	0.0337	135.76	ppm	Wet	0.0284	  3.43	ppm	Wet	0.0196	 53.19	ppm	Wet	0.0037	  0.00	ppm	Wet	0.0212	 10.31	ppm	Wet	0.0006	 37.94	ppm	Wet	0.0108	  0.00	ppm	Wet	0.0143	4644.27	ppm	Wet	0.0000	  0.00	ppm	Wet	0.0000	135.76	ppm	Wet	0.0000	  9.62	vol-%	Wet	0.0000	Error
